stack,size,n_train,wr_train,dpt_train,sum_train,dd_train,ls_train,shp_train,n_val,wr_val,dpt_val,sum_val,dd_val,ls_val,shp_val,n_lock,wr_lock,dpt_lock,sum_lock,dd_lock,ls_lock,shp_lock,np_d_lock
g_bb_pos_extreme_with+g_cci_strong_with+g_depth_250_loose+g_depth_250_strict+g_mp_no_extreme_50,R5,1590,0.9672955974842767,0.20645847079748056,328.2689685679941,143.15952211811157,2,9.119603536426698,491,0.9735234215885947,0.22859327264413987,112.23929686827267,89.32995328740266,2,8.887923118663473,979,0.9489274770173647,0.385871250702936,377.76795443817434,178.04387560837114,3,14.908324067882893,108.77777777777777
g_bb_pos_extreme_with+g_cci_strong_with+g_depth_250_strict+g_mp_no_extreme_50,R4,1590,0.9672955974842767,0.20645847079748056,328.2689685679941,143.15952211811157,2,9.119603536426698,491,0.9735234215885947,0.22859327264413987,112.23929686827267,89.32995328740266,2,8.887923118663473,979,0.9489274770173647,0.385871250702936,377.76795443817434,178.04387560837114,3,14.908324067882893,108.77777777777777
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_100+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_above_ema50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50,R3,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_bb_pos_with+g_depth_250_strict+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_150+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_loose+g_depth_250_strict+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_depth_250_strict+g_mp_no_extreme_50+g_tr_above_cloud,R4,1677,0.9677996422182469,0.2158768722883151,362.0255148275044,130.12900632503138,2,10.82635258337178,532,0.9736842105263158,0.24723914154938448,131.53122330427254,88.82995377397117,2,11.45127327300964,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
g_bb_pos_extreme_with+g_bb_pos_strong_with+g_depth_250_strict+g_mp_no_extreme_50,R4,1678,0.9678188319427891,0.21606502640705783,362.55711431104305,130.12900632503138,2,10.855028621201225,533,0.9737335834896811,0.2542581518263121,135.51959492342436,88.82995377397116,2,11.553483230448583,1048,0.9484732824427481,0.34779708753357763,364.4913477351894,193.05845476356336,3,17.54403126813335,116.44444444444444
