band,band_lo,band_hi,stack,size,n_train,wr_train,dpt_train,sum_train,dd_train,ls_train,shp_train,n_val,wr_val,dpt_val,sum_val,dd_val,ls_val,shp_val,n_lock,wr_lock,dpt_lock,sum_lock,dd_lock,ls_lock,shp_lock,np_d_lock
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up+g_rf_strong+g_tr_above_ema200+g_tr_full_stack_with+g_tr_partial_stack_with,R6,8,0.875,14.67927403790441,117.43419230323528,25.0,1,15.214499099127975,0,0.0,0.0,0.0,0.0,0,0.0,9,0.3333333333333333,-9.637451302549891,-86.73706172294902,87.14081716508578,3,-11.580365379913427,1.0
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up+g_rf_full_align+g_tr_above_ema200+g_tr_full_stack_with+g_tr_partial_stack_with,R6,6,0.8333333333333334,12.429239630987249,74.5754377859235,25.0,1,12.607966678199169,0,0.0,0.0,0.0,0.0,0,0.0,8,0.375,-7.717132715368628,-61.73706172294902,62.14081716508578,2,-10.625768064438773,0.8888888888888888
narrow_mid,0.35,0.65,g_bb_pos_with+g_depth_250_loose+g_regime_trending_up+g_rf_strong,R4,12,0.75,10.67827866913571,128.13934402962852,25.0,1,11.78436983968747,0,0.0,0.0,0.0,0.0,0,0.0,26,0.5,-1.6974551899232144,-44.133834938003574,92.22375309964622,4,-3.5012062545970304,2.888888888888889
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up+g_tr_above_ema200+g_tr_full_stack_with,R4,12,0.75,10.725077014259925,128.7009241711191,32.4048460434627,1,15.574631635132674,0,0.0,0.0,0.0,0.0,0,0.0,20,0.4,-7.69741379433535,-153.948275886707,189.2678460522385,4,-25.890058174079,2.2222222222222223
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up+g_tr_above_ema200+g_tr_full_stack_with+g_tr_partial_stack_with,R5,12,0.75,10.725077014259925,128.7009241711191,32.4048460434627,1,15.574631635132674,0,0.0,0.0,0.0,0.0,0,0.0,20,0.4,-7.69741379433535,-153.948275886707,189.2678460522385,4,-25.890058174079,2.2222222222222223
narrow_mid,0.35,0.65,g_bb_pos_strong_with+g_depth_250_loose+g_regime_trending_up+g_tr_above_ema200+g_tr_full_stack_with+g_tr_partial_stack_with,R6,8,0.75,8.76399632773375,70.11197062187,25.0,1,9.375485595714352,0,0.0,0.0,0.0,0.0,0,0.0,14,0.42857142857142855,-6.030819093785545,-84.43146731299763,100.5,3,-11.554463717829785,1.5555555555555556
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up+g_tr_above_ema200+g_tr_full_stack_with+g_tr_partial_stack_with+g_tr_stack_with,R6,8,0.75,8.597396377092357,68.77917101673886,25.0,1,9.153171205844126,0,0.0,0.0,0.0,0.0,0,0.0,11,0.36363636363636365,-8.858969212851727,-97.448661341369,75.5,2,-22.56838465228774,1.2222222222222223
narrow_mid,0.35,0.65,g_R1_five+g_depth_250_loose+g_regime_trending_up+g_rf_strong,R4,11,0.7272727272727273,8.527653861838598,93.80419248022457,25.0,1,11.745793694933177,0,0.0,0.0,0.0,0.0,0,0.0,23,0.5217391304347826,-1.4133248247754653,-32.5064709698357,93.3929730372351,4,-2.942609334311252,2.5555555555555554
narrow_mid,0.35,0.65,g_bb_pos_with+g_depth_250_loose+g_regime_trending_up+g_rf_full_align,R4,10,0.7,8.528058951231674,85.28058951231674,25.0,1,10.639966835881971,0,0.0,0.0,0.0,0.0,0,0.0,24,0.5,-1.3714619080690085,-32.9150857936562,81.00500395529886,3,-2.968130302171807,2.6666666666666665
narrow_mid,0.35,0.65,g_bb_pos_with+g_depth_250_loose+g_regime_trending_up+g_tr_full_stack_with,R4,11,0.7272727272727273,8.375472010574102,92.13019211631511,32.4048460434627,1,13.731757391208784,0,0.0,0.0,0.0,0.0,0,0.0,20,0.4,-7.69741379433535,-153.948275886707,189.2678460522385,4,-25.890058174079,2.2222222222222223
narrow_mid,0.35,0.65,g_R1_five+g_depth_250_loose+g_regime_trending_up+g_tr_full_stack_with,R4,11,0.7272727272727273,8.375472010574102,92.13019211631511,32.4048460434627,1,13.731757391208784,0,0.0,0.0,0.0,0.0,0,0.0,20,0.4,-7.69741379433535,-153.948275886707,189.2678460522385,4,-25.890058174079,2.2222222222222223
narrow_mid,0.35,0.65,g_depth_250_loose+g_regime_trending_up,R2,32,0.65625,7.54621358384739,241.47883468311647,50.0,2,12.58278576453787,10,0.7,4.050711540974206,40.507115409742056,50.0,2,6.345118333631318,118,0.4745762711864407,-3.730086778006672,-440.1502398047873,481.1667680339701,5,-28.070168910392592,13.11111111111111
narrow_mid,0.35,0.65,g_R1_five+g_bb_pos_strong_with+g_depth_250_loose+g_regime_trending_up,R4,10,0.7,7.14819707988593,71.4819707988593,25.0,1,8.156227698738755,0,0.0,0.0,0.0,0.0,0,0.0,26,0.5,-3.029458542319575,-78.76592210030896,104.04596064149402,3,-11.48080259652191,2.888888888888889
narrow_mid,0.35,0.65,g_bb_pos_strong_with+g_bb_pos_with+g_depth_250_loose+g_regime_trending_up,R4,10,0.7,7.14819707988593,71.4819707988593,25.0,1,8.156227698738755,0,0.0,0.0,0.0,0.0,0,0.0,28,0.5,-2.3354745024456016,-65.39328606847684,100.0,4,-6.140075479108641,3.111111111111111
